pc_time_s,recording,idx,t_us,red,ir,green,rb_used,flags,finger,underflow,overflow,catchup
1767648975.717453,0,7232,75338437,138715,189347,0,0,9,1,0,0,1
1767648975.7190423,0,7233,75348437,138715,189347,0,0,11,1,1,0,1
1767648975.7207592,0,7234,75358437,138715,189347,0,0,11,1,1,0,1
1767648975.7224276,0,7235,75368437,138715,189347,0,0,11,1,1,0,1
1767648975.7657835,0,7236,75378437,138756,189322,0,1,1,1,0,0,0
1767648975.767614,0,7237,75388437,138744,189313,0,0,9,1,0,0,1
1767648975.769178,0,7238,75398437,138744,189313,0,0,11,1,1,0,1
1767648975.7708576,0,7239,75408437,138744,189313,0,0,11,1,1,0,1
1767648975.7724793,0,7240,75418437,138744,189313,0,0,11,1,1,0,1
1767648975.8157878,0,7241,75428437,138711,189320,0,1,1,1,0,0,0
1767648975.8175304,0,7242,75438437,138794,189321,0,0,9,1,0,0,1
1767648975.8189435,0,7243,75448437,138794,189321,0,0,11,1,1,0,1
1767648975.820628,0,7244,75458437,138794,189321,0,0,11,1,1,0,1
1767648975.8223448,0,7245,75468437,138794,189321,0,0,11,1,1,0,1
1767648975.865861,0,7246,75478437,138738,189331,0,1,1,1,0,0,0
1767648975.8676054,0,7247,75488437,138702,189370,0,0,9,1,0,0,1
1767648975.8692698,0,7248,75498437,138702,189370,0,0,11,1,1,0,1
1767648975.870808,0,7249,75508437,138702,189370,0,0,11,1,1,0,1
1767648975.8725452,0,7250,75518437,138702,189370,0,0,11,1,1,0,1
1767648975.9158103,0,7251,75528437,138760,189319,0,1,1,1,0,0,0
1767648975.9175663,0,7252,75538437,138733,189362,0,0,9,1,0,0,1
1767648975.918933,0,7253,75548437,138733,189362,0,0,11,1,1,0,1
1767648975.9206998,0,7254,75558437,138733,189362,0,0,11,1,1,0,1
1767648975.9224293,0,7255,75568437,138733,189362,0,0,11,1,1,0,1
1767648975.9660044,0,7256,75578437,138707,189405,0,1,1,1,0,0,0
1767648975.9676309,0,7257,75588437,138758,189348,0,0,9,1,0,0,1
1767648975.969178,0,7258,75598437,138758,189348,0,0,11,1,1,0,1
1767648975.9708295,0,7259,75608437,138758,189348,0,0,11,1,1,0,1
1767648975.9725616,0,7260,75618437,138758,189348,0,0,11,1,1,0,1
1767648976.01573,0,7261,75628437,138720,189373,0,1,1,1,0,0,0
1767648976.0173726,0,7262,75638437,138728,189380,0,0,9,1,0,0,1
1767648976.0190623,0,7263,75648437,138728,189380,0,0,11,1,1,0,1
1767648976.0207343,0,7264,75658437,138728,189380,0,0,11,1,1,0,1
1767648976.022242,0,7265,75668437,138728,189380,0,0,11,1,1,0,1
1767648976.065851,0,7266,75678437,138729,189365,0,1,1,1,0,0,0
1767648976.0673282,0,7267,75688437,138705,189326,0,0,9,1,0,0,1
1767648976.0690556,0,7268,75698437,138705,189326,0,0,11,1,1,0,1
1767648976.07068,0,7269,75708437,138705,189326,0,0,11,1,1,0,1
1767648976.0722885,0,7270,75718437,138705,189326,0,0,11,1,1,0,1
1767648976.1158051,0,7271,75728437,138722,189353,0,1,1,1,0,0,0
1767648976.117618,0,7272,75738437,138717,189355,0,0,9,1,0,0,1
1767648976.119172,0,7273,75748437,138717,189355,0,0,11,1,1,0,1
1767648976.1208405,0,7274,75758437,138717,189355,0,0,11,1,1,0,1
1767648976.1224844,0,7275,75768437,138717,189355,0,0,11,1,1,0,1
1767648976.1658063,0,7276,75778437,138703,189349,0,1,1,1,0,0,0
1767648976.167605,0,7277,75788437,138719,189390,0,0,9,1,0,0,1
1767648976.1692257,0,7278,75798437,138719,189390,0,0,11,1,1,0,1
1767648976.170709,0,7279,75808437,138719,189390,0,0,11,1,1,0,1
1767648976.1723835,0,7280,75818437,138719,189390,0,0,11,1,1,0,1
1767648976.215793,0,7281,75828437,138734,189399,0,1,1,1,0,0,0
1767648976.2176404,0,7282,75838437,138727,189387,0,0,9,1,0,0,1
1767648976.2192032,0,7283,75848437,138727,189387,0,0,11,1,1,0,1
1767648976.2208993,0,7284,75858437,138727,189387,0,0,11,1,1,0,1
1767648976.2224963,0,7285,75868437,138727,189387,0,0,11,1,1,0,1
1767648976.2648058,0,7286,75878437,138714,189405,0,1,9,1,0,0,1
1767648976.2663715,0,7287,75888437,138704,189383,0,0,9,1,0,0,1
1767648976.2679224,0,7288,75898437,138704,189383,0,0,11,1,1,0,1
1767648976.2695155,0,7289,75908437,138704,189383,0,0,11,1,1,0,1
1767648976.271241,0,7290,75918437,138704,189383,0,0,11,1,1,0,1
1767648976.3147898,0,7291,75928437,138704,189388,0,1,1,1,0,0,0
1767648976.3163967,0,7292,75938437,138722,189394,0,0,9,1,0,0,1
1767648976.3180208,0,7293,75948437,138722,189394,0,0,11,1,1,0,1
1767648976.3196793,0,7294,75958437,138722,189394,0,0,11,1,1,0,1
1767648976.321326,0,7295,75968437,138722,189394,0,0,11,1,1,0,1
1767648976.3230708,0,7296,75978437,138722,189394,0,0,11,1,1,0,1
1767648976.3667123,0,7297,75988437,138694,189389,0,1,1,1,0,0,0
1767648976.3683748,0,7298,75998437,138628,189372,0,0,9,1,0,0,1
